PROVIDER;DATASET;INDICATOR_NAME;INDICATOR_CODE;INDICATOR_DESCRIPTION;CATEGORY;SUB_CATEGORY
WB;WGI;WB-WGI-RL.PER.RNK.UPPER;RL.PER.RNK.UPPER;Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval;Political;NA
WB;WGI;WB-WGI-CC.PER.RNK;CC.PER.RNK;Control of Corruption: Percentile Rank;Political;NA
WB;WGI;WB-WGI-CC.PER.RNK.UPPER;CC.PER.RNK.UPPER;Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval;Political;NA
WB;WGI;WB-WGI-CC.NO.SRC;CC.NO.SRC;Control of Corruption: Number of Sources;Political;NA
WB;WGI;WB-WGI-CC.PER.RNK.LOWER;CC.PER.RNK.LOWER;Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval;Political;NA
WB;WGI;WB-WGI-CC.STD.ERR;CC.STD.ERR;Control of Corruption: Standard Error;Political;NA
WB;WGI;WB-WGI-CC.EST;CC.EST;Control of Corruption: Estimate;Political;NA
WB;WGI;WB-WGI-RQ.EST;RQ.EST;Regulatory Quality: Estimate;Political;NA
WB;WGI;WB-WGI-RQ.PER.RNK.UPPER;RQ.PER.RNK.UPPER;Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval;Political;NA
WB;WGI;WB-WGI-RQ.PER.RNK.LOWER;RQ.PER.RNK.LOWER;Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval;Political;NA
WB;WGI;WB-WGI-RQ.NO.SRC;RQ.NO.SRC;Regulatory Quality: Number of Sources;Political;NA
WB;WGI;WB-WGI-RQ.PER.RNK;RQ.PER.RNK;Regulatory Quality: Percentile Rank;Political;NA
WB;WGI;WB-WGI-RQ.STD.ERR;RQ.STD.ERR;Regulatory Quality: Standard Error;Political;NA
WB;WGI;WB-WGI-GE.STD.ERR;GE.STD.ERR;Government Effectiveness: Standard Error;Political;NA
WB;WGI;WB-WGI-GE.PER.RNK.LOWER;GE.PER.RNK.LOWER;Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval;Political;NA
WB;WGI;WB-WGI-GE.PER.RNK;GE.PER.RNK;Government Effectiveness: Percentile Rank;Political;NA
WB;WGI;WB-WGI-GE.NO.SRC;GE.NO.SRC;Government Effectiveness: Number of Sources;Political;NA
WB;WGI;WB-WGI-GE.EST;GE.EST;Government Effectiveness: Estimate;Political;NA
WB;WGI;WB-WGI-GE.PER.RNK.UPPER;GE.PER.RNK.UPPER;Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval;Political;NA
